,Question,Context,Value,prompt
0,the value of B-BBEE level (South Africa) in Absa document in 2019?,"•  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##",1.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE level (South Africa) in Absa document in 2019?[/INST] [INST]Context: •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##[/INST]
[INST]The result value for the metric in 2022 is: 1.0[/INST]
"
1,the value of B-BBEE level (South Africa) in Absa document in 2020?,"•  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##",2.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE level (South Africa) in Absa document in 2020?[/INST] [INST]Context: •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##[/INST]
[INST]The result value for the metric in 2022 is: 2.0[/INST]
"
2,the value of B-BBEE level (South Africa) in Absa document in 2021?,"•  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##",1.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE level (South Africa) in Absa document in 2021?[/INST] [INST]Context: •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##[/INST]
[INST]The result value for the metric in 2022 is: 1.0[/INST]
"
3,the value of B-BBEE level (South Africa) in Absa document in 2022?,"•  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##",1.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE level (South Africa) in Absa document in 2022?[/INST] [INST]Context: •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##[/INST]
[INST]The result value for the metric in 2022 is: 1.0[/INST]
"
4,the value of Board meeting attendance (%) in Absa document in 2019?,"non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.",95.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Board meeting attendance (%) in Absa document in 2019?[/INST] [INST]Context: non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.[/INST]
[INST]The result value for the metric in 2022 is: 95.0[/INST]
"
5,the value of Board meeting attendance (%) in Absa document in 2020?,"non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.",99.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Board meeting attendance (%) in Absa document in 2020?[/INST] [INST]Context: non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.[/INST]
[INST]The result value for the metric in 2022 is: 99.0[/INST]
"
6,the value of Board meeting attendance (%) in Absa document in 2021?,"non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.",98.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Board meeting attendance (%) in Absa document in 2021?[/INST] [INST]Context: non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.[/INST]
[INST]The result value for the metric in 2022 is: 98.0[/INST]
"
7,the value of Board meeting attendance (%) in Absa document in 2022?,"non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   number of board and board committee meetings||97|105|94|86|
|Board training hours||60|27| | |
|Board tenure| | | | | |
|Average tenure|=|4|4|4| |
|0 – 3 years|=|9|9|1|9|
|4 – 6 years|=|3|3|8|4|
|7 – 9 years||2|3|2|2|
|10+ years| | |2|1| |
|Average",98.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Board meeting attendance (%) in Absa document in 2022?[/INST] [INST]Context: non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   2|59|58|
|Overall board and committee meeting attendance|93,7%|95,8%|95,1%|
|Auditor remuneration: % of non-audit fees|37,2%|21,6%|12,1%|
|Length of current auditor's service|77|76|75|
|Fees paid to executive/board remuneration consultants during the reporting period|Yes|No|No|

Distell ESG Appendix 2022
---
|LABOUR|2022|2021|2020|
|---|---|---|---|
|Total  
   number of board and board committee meetings||97|105|94|86|
|Board training hours||60|27| | |
|Board tenure| | | | | |
|Average tenure|=|4|4|4| |
|0 – 3 years|=|9|9|1|9|
|4 – 6 years|=|3|3|8|4|
|7 – 9 years||2|3|2|2|
|10+ years| | |2|1| |
|Average[/INST]
[INST]The result value for the metric in 2022 is: 98.0[/INST]
"
8,the value of Average age 40-49 years in Absa document in 2019?,"|
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.  
   583|7.396|18.979|0.028|0.021|
|Junior management|1.508|1.465|2.973|0.025|0.013|
|Non-management and non-permanent|1.769|0.630|2.399|-|-|
|Total|16.720|11.137|27.857|0.116|0.034|

Absa Group Limited 2022 Environmental,",4.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Average age 40-49 years in Absa document in 2019?[/INST] [INST]Context: |
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.  
   583|7.396|18.979|0.028|0.021|
|Junior management|1.508|1.465|2.973|0.025|0.013|
|Non-management and non-permanent|1.769|0.630|2.399|-|-|
|Total|16.720|11.137|27.857|0.116|0.034|

Absa Group Limited 2022 Environmental,[/INST]
[INST]The result value for the metric in 2022 is: 4.0[/INST]
"
9,the value of Average age 40-49 years in Absa document in 2020?,"|
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.  
   4|18.6| |
|11 – 20 years||31.3|31.8|30.3|30.0| |
|21 – 30 years||8.2|8.3|8.6|8.6| |
|31 – 40 years||4.4|4.3|4.2|3.8| |
|> 41 years|=|0.2|0.2|0.1|0.",3.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Average age 40-49 years in Absa document in 2020?[/INST] [INST]Context: |
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.  
   4|18.6| |
|11 – 20 years||31.3|31.8|30.3|30.0| |
|21 – 30 years||8.2|8.3|8.6|8.6| |
|31 – 40 years||4.4|4.3|4.2|3.8| |
|> 41 years|=|0.2|0.2|0.1|0.[/INST]
[INST]The result value for the metric in 2022 is: 3.0[/INST]
"
