filename,chunk_id,text,embedding_index
2021ESG.pdf,0,"2021 PARTNERING IN GROWTH ESG AND CLIMATE CHANGE REPORTPARTNERING IN GROWTH CONTENTS 02 04 05 01 INTRODUCTION 02 COMPREHENSIVE DATA TABLE 08 ABOUT THIS REPORT 10 ABOUT TONGAAT HULETT 11 GEOGRAPHIC FOOTPRINT 12 OUR BUSINESS MODEL 14 OUR CONTRIBUTION TO SOCIETY OUR APPROACH 18 APPROACH TO SUSTAINABILITY 19 CLIMATE CHANGE AND SUSTAINABILITY GOVERNANCE 22 MEDIUM- TERM ESG STRATEGY 23 OUR MOST MATERIAL ISSUES 26 RESPONDING TO THE SUSTAINABLE DEVELOPMENT GOALS 38 UNITED NATIONS GLOBAL COMPACT COMMUNICATION ON PROGRESS FOR 2021 HUMAN CAPITAL 42 HUMAN CAPITAL MANAGEMENT 46 TRAINING AND DEVELOPMENT 47 BENEFITS 48 ETHICS 50 HEALTH AND SAFETY 54 KEY HUMAN CAPITAL METRICS 56 TRANSFORMATION, LOCALISATION AND UPLIFTMENT OF WOMEN SOCIAL AND RELATIONSHIP CAPITAL 62 STAKEHOLDER RELATIONSHIPS 72 SOCIO-ECONOMIC DEVELOPMENT 73 SUSTAINABLE AGRICULTURE 73 HUMAN RIGHTS AND CHILD LABOUR 74 SUPPL Y CHAIN 76 B-BBEE IN SOUTH AFRICA 77 FOOD SAFETY INTELLECTUAL CAPITAL 81 INTELLECTUAL PROPERTY 81 THIRD-PARTY CERTIFICATION 81 PRODUCT RESPONSIBILITY 82 BRANDS NATURAL CAPITAL 86 LAND 90 WATER 93 MANAGING WASTE 94 AIR: INCLUDING CARBON EMISSIONS 98 CLIMATE CHANGE 101 TCFD APPLICATION TABLE REPORT OF THE SOCIAL, ETHICS, HEALTH AND SAFETY COMMITTEE 105 GLOSSARY OF TERMS 108 CORPORATE DETAILS 112 ASSURANCE STATEMENT Please note that we have used a selection of photographs throughout this report, some of which were taken before the COVID-19 pandemic. 06 07 03is to build our future by creating sustainable value for all our stakeholders. OUR VISION OUR MISSION is to be the most trusted partner in all that we do. OUR VALUES 12 Unit of measure 2021 2020 2019 2018 GOVERNANCE Board members number 10 10 10 11 Non-executive Board members number 7 7 7 9 Percentage of non-executive Board members % 70 70 70 82 Executive Board members number 3 3 3 2 Prescribed officers (note: persons who are not already counted as executives ) number 2 5 Independent Board members number 7 7 7 7 Percentage of independent Board members % 70.0 70.0 70.0 63.6 HDSA1 Board members number 4 4 3 5 Percentage of HDSA Board members % 40.0 40.0 30.0 45.5 Female Board members number 2 1 2 5 Percentage of female Board members % 20.0 10.0 20.0 45.5 Average length of executive director service years 2.0 0.90 0.12 17.76 Average length of non-executive director service years 1.5 0.50 5.20 8.10 Average length of full Board service years 1.5 0.60 3.17 9.85 Average age of directors number 54.0 51.30 52.50 58.1 Overall Board and Committee meeting attendance % 99.00 97.90 94.93 95.75 Auditor Remuneration: percentage of non-audit fees % 3.92 15.38 16.67 8.70 Length of current auditor s service number 83 82 81 80 Independence of Board Chairman Y N Yes Yes Yes No Publicly available policy on Board conflicts of interest and PEP2 Y N Yes Yes Yes Yes Public disclosure on any all Board member conflicts of interest Y N Yes Yes No No Public disclosure on any all Board member (PEP)2 Y N Yes Not reported Not reported Not reported Publicly available climate related financial disclosures,",0
2021ESG.pdf,1,"conflicts of interest and PEP2 Y N Yes Yes Yes Yes Public disclosure on any all Board member conflicts of interest Y N Yes Yes No No Public disclosure on any all Board member (PEP)2 Y N Yes Not reported Not reported Not reported Publicly available climate related financial disclosures, as per TCFD3 Y N Yes Not reported Not reported Not reported Publicly available Human Rights policy Y N Yes Not reported Not reported Not reported ESG included into service level agreements with suppliers Y N Yes Yes Yes Yes Shareholders vote (non-binding) on executive remuneration Y N P Yes Yes Yes Yes INTELLECTUAL CAPITAL Number of registered patents number 2 14 14 14 Number of registered trademarks number 704 369 369 369 Number of domains number 44 89 89 51 LAND: COMPANY MANAGED LAND (OWNED AND LEASED) EIA approved land Developments Land hectares 1 500 1 542 1 618 1 597 Land under cane not irrigated hectares 10 762 12 705 24 190 24 830 Land under cane irrigated hectares 42 121 43 285 47 021 52 888 Total company managed farmed land (owned and leased) hectares 52 883 55 990 71 211 77 717 Land not under cane fallow hectares 2 847 2 064 1 595 2 005 Land abandoned (no longer under cane) hectares 4 475 3 916 4 018 1 595 Total company managed farmed land (owned and leased) hectares 60 204 63 512 78 442 82 915 LAND: SMALL -SCALE GROWER MANAGED Land under cane not irrigated hectares 20 020 17 647 17 514 15 216 Land under cane irrigated hectares 28 840 28 522 27 774 23 745 Total land managed by small-scale growers (SSGs) hectares 48 860 46 169 45 288 38 962 LAND: COMMERCIAL FARMER MANAGED Land under cane not irrigated hectares 66 403 66 598 57 439 56 321 Land under cane irrigated hectares 6 897 6 943 7 372 7 629 Total land managed by commercial farmers hectares 73 300 73 542 64 812 63 951 COMPREHENSIVE DATA TABLE 1 HDSA Historically disadvantaged South Africans. 2 PEP Politically exposed persons. 3 TCFD Task Force on Climate-related Financial Disclosures.TONGAAT HULETT 2021 ESG REPORT 3 01 INTRODUCTION Full time equivalent calculation based on 2 080 hours per full time position. Employee turnover is calculated as a percentage of peak season employees. Unit of measure 2021 2020 2019 2018 PRODUCTION Volume of sugarcane supplied to mills Tongaat Hulett (Agriculture Division) farmed land tons 3 964 866 4 244 686 4 617 013 4 673 126 Volume of sugarcane supplied to mills SSGs tons 2 477 752 2 416 339 2 403 056 2 302 422 Volume of sugarcane supplied to mills large commercial farmers tons 3 578 806 3 641 495 3 611 871 3 148 122 Total volume of sugarcane supplied to the mills all sources tons 10 021 424 10 302 520 10 631 939 10 123 670 Volume of sugarcane supplied to mills Tongaat Hulett (Agriculture Division) farmed land %",1
2021ESG.pdf,2,farmers tons 3 578 806 3 641 495 3 611 871 3 148 122 Total volume of sugarcane supplied to the mills all sources tons 10 021 424 10 302 520 10 631 939 10 123 670 Volume of sugarcane supplied to mills Tongaat Hulett (Agriculture Division) farmed land % 39.6 41.2 43.4 46.2 Volume of sugarcane supplied to mills SSGs % 24.7 23.5 22.6 22.7 Volume of sugarcane supplied to mills large commercial farmers % 35.7 35.3 34.0 31.1 Raw sugar produced tons 1 141 186 1 246 027 Refined sugar produced tons 548 469 410 267 Total volume of sugar produced tons 1 689 655 1 656 294 1 171 000 1 310 000 Ethanol produced (Triangle) litres 30 629 465 27 730 825 26 916 894 21 964 691 HUMAN CAPITAL Number of employees permanent number 14 952 16 844 20 680 21 122 Number of employees fixed term contractors number 7 895 5 384 9 130 6 176 Number of employees seasonal and casual workers number 80 1 119 3 757 4 057 Total number of employees all types as 31 March 2021 number 22 927 23 347 33 567 31 355 Total number of employees peak season number 28 909 30 173 41 501 40 382 Number of contractor (vendors) employees (full time equivalent ) number 4 408 3 662 3 532 3 463 Number of employees (full time equivalent) number 32 949 34 246 42 826 41 869 Total number of employees and contractors (full time equivalent) number 37 357 37 908 460 360 45 332 Percentage of employees who are permanent as at 31 March % 65.5 72.1 61.6 67.4 Number of employees and contractors operating in South Africa number 3 691 4 705 6 466 7 202 Percentage of employees and contractors operating in South Africa % 13.5 17.4 17.4 20.7 Percentage of management (top and senior) deemed HDSA1 (SA only) % 64.1 69.0 67.2 65.4 Percentage of management (top and senior) who are women (SA only) % 28.2 21.0 28.7 30.9 Percentage of employees who are deemed HDSA1 (SA only) % 95.3 92.8 Percentage of employees who are women (group) % 20.6 17.9 Percentage of employees who are women (SA only) % 25.9 26.6 28.7 30.9 Percentage of HDSA1 employees in skilled and supervisory positions % 94.1 88.8 89.0 88.3 Percentage of university and or college qualified employees who are HSDA1 % 84.0 80.9 80.9 79.0 B-BBEE Level 4 4 4 3 Number of employees with disabilities number 41 65 63 57 Percentage of employees covered by collective bargaining agreements % 80.0 77.3 87.0 71.8 Employee turnover group % 3.9 14.9 2.6 2.3 Employee turnover South Africa % 20.4 50.6 6.5 6.4 Employee turnover Mozambique % 2.6 16.2 1.9 1.6 Employee turnover Zimbabwe % 2.2 2.2 1.9 1.6 Employee turnover Botswana % 4.5 2.5 3.3 2.6 Number of person hours worked employees hours 68 532 302 71 231 050 89 077 336 87 086 880 Number of person hours worked contractors,2
2021ESG.pdf,3,"6.4 Employee turnover Mozambique % 2.6 16.2 1.9 1.6 Employee turnover Zimbabwe % 2.2 2.2 1.9 1.6 Employee turnover Botswana % 4.5 2.5 3.3 2.6 Number of person hours worked employees hours 68 532 302 71 231 050 89 077 336 87 086 880 Number of person hours worked contractors hours 9 169 329 7 616 876 7 351 811 7 203 143 Number of person hours worked employees and contractors hours 77 701 632 78 847 926 96 429 147 94 290 022 Number of employees trained, including internal and external training interventions number 8 760 9 331 19 585 18 803 Number of graduates number 1 067 1 352 1 469 1 334 Number of artisans number 560 656 701 422 Percentage of employees trained in South Africa % 8 Value of employee training spend Rands 23 822 054 34 770 862 59 687 346 57 050 167 Total number of training hours number 66 986 153 588 456 627 471 829 Total number of person days lost due to industrial action (i.e., strike action) number 0 0 0 7 288 Percentage of total person days lost due to industrial action % 0 0 0 0.0084 COMPREHENSIVE DATA TABLE CONTINUED Unit of measure 2021 2020 2019 2018 COVID-19 Number of COVID-19 certificate of fitness assessments conducted number 18 857 Number of positive COVID-19 test results number 1 016 Number of general COVID-19 tests conducted number 21 378 Number of PCR tests (known) number 7 000 Number of antigen tests (estimated) number 14 378 Days lost due to COVID-19-positive cases number 11 002 Number of repeat positive cases number 5 Number of hospitalisations in company hospitals (Zimbabwe) number 54 Number of recovered positive cases number 979 Number of outstanding positive cases number 17 Number of COVID-19-related deaths number 20 COVID-19 recovery rate (total number of recoveries total number of positive cases) % 96.4 COVID-19 mortality rate % 2.0 Rand value of investments in COVID-19 avoidance, mitigation and treatment Rands 84 210 673 HEALTH AND SAFETY Number of occupational health incidents with irreversible health effects employees and contractors number 1 Number of occupational health incidents with reversible health effects employees and contractors number 11 57 1 7 New cases of NIHL employees and contractors number 8 1 New cases of malaria employees and contractors number 1 237 1 533 2 432 3 207 New cases of tuberculoses (TB) employees and contractors number 23 169 52 64 Deaths due to malaria employees and contractors number 2 1 Deaths due to other causes employees and contractors number 40 Non-work related deaths employees and contractors number 7 3 3 Fatalities (i.e. injuries on duty leading to death, excluding the deaths of workers not occurring at work ) employees and contractors number 1 1 5 1 Third-party deaths employees and contractors number 12 5 12 5 First aid cases (FACs, i.e. injuries on duty leading to minor treatments, such as a plaster or a pain tablet) employees and contractors number 114 197 392 581",3
2021ESG.pdf,4,"occurring at work ) employees and contractors number 1 1 5 1 Third-party deaths employees and contractors number 12 5 12 5 First aid cases (FACs, i.e. injuries on duty leading to minor treatments, such as a plaster or a pain tablet) employees and contractors number 114 197 392 581 Medical treatment cases (MTCs, i.e. injuries on duty leading to medical treatment, but no lost days) employees and contractors number 365 405 544 608 Lost time injuries (LTIs, i.e. injuries on duty leading to at least one lost day) employees and contractors number 36 42 42 39 Days lost due to LTI employees and contractors number 945 946 825 889 Total number of recordable Injuries, including MTCs, LTIs and Fatalities employees and contractors number 403 448 591 648 Permanent disabilities employees and contractors number 0 High frequency risk incidents (HFRIs) employees and contractors number 29 44 49 47 Near misses employees and contractors number 359 1 032 388 967 Fatal injury frequency rate (FIFR, i.e. number of fatalities per 200 000 person hours worked) employees and contractors rate 0.005 0.003 0.010 0.002 Lost time injury frequency rate (LTIFR, i.e. number of LTIs per 200 000 person hours worked) employees and contractors rate 0.093 0.107 0.087 0.089 Total recordable injury frequency rate (TRIFR) employees and contractors rate 1.037 1.136 1.226 1.374 Total injury frequency rate (TIFR) employees and contractors rate 1.331 1.636 2.039 2.607 LTIFR target employees and contractors by 2025 rate 0.100 TRIFR target employees and contractors rate 0.500 Number of employees receiving voluntary counselling and testing (VCT) for HIV AIDS (i.e. counselled) number 2 996 13 089 8 270 15 209 VCT uptake employees % 28.0 56.0 80.5 75.0 Number of contractors tested for HIV AIDS number 186 147 301 460 Employees knowing their HIV status % 42.00 66.00 84.40 79.80 Total number of employees currently HIV positive number 3 755 4 030 4 763 4 343 HIV AIDS prevalence rate amongst employees % 25.0 24.0 23.2 21.0 Employees currently receiving company-provided ART (anti-retroviral treatment) number 2 707 2 738 3 868 3 720 Cost of ART Rands 867 883 1 216 965 1 406 831 1 653 929 NIHL noise-induced hearing loss. Antiretroviral therapy.TONGAAT HULETT 2021 ESG REPORT 5 01 INTRODUCTION Unit of measure 2021 2020 2019 2018 ENVIRONMENTAL the information below excludes data from starch, Namibia and Eswatini Fuel consumption renewables Wood used for fuelling boilers tons 15 969 11 162 7 870 3 050 Bagasse produced tons 3 230 783 3 271 018 3 251 591 3 043 610 Bagasse consumed for power generation tons 3 161 176 2 666 824 1 364 963 Fuel consumption non-renewables Diesel used by company-owned vehicles (e.g. diesel consumed in mobile combustion equipment) litres 10 868 959 13 243 339 13 378 137 13 298 848 Diesel used by company-owned equipment (e.g. diesel consumed in stationary combustion equipment such as generators and pumps) litres 87 601 Diesel used by company contractors vehicles (e.g. product transportation contractors) litres 4 602 811",4
2021ESG.pdf,5,"mobile combustion equipment) litres 10 868 959 13 243 339 13 378 137 13 298 848 Diesel used by company-owned equipment (e.g. diesel consumed in stationary combustion equipment such as generators and pumps) litres 87 601 Diesel used by company contractors vehicles (e.g. product transportation contractors) litres 4 602 811 7 142 065 5 493 465 7 520 810 Diesel used by company contractor equipment (e.g. diesel consumed in stationary combustion equipment such as generators and pumps) litres 40 609 Coal used for steam and or power generation tons 182 565 249 927 270 492 275 206 Petrol used by company-owned vehicles (e.g. petrol consumed in mobile combustion equipment) litres 719 332 911 844 864 894 906 283 Petrol used by company-owned equipment (e.g. petrol consumed in stationary combustion equipment such as generators and pumps) litres 6 692 Petrol used by company contractors vehicles (e.g. product transportation contractors) litres 34 714 32 831 12 539 47 225 Petrol used by company contractor equipment (e.g. petrol consumed in stationary combustion equipment such as generators and pumps) litres 1 075 LPG used in stationary combustion equipment (include LPG used in workshops and laboratories) kg 31 841 Acetylene used in workshops and laboratories kg 23 740 Oxygen used in workshops and laboratories kg 100 Natural gas used in stationary combustion equipment m3 361 595 484 474 463 246 Steam produced tons 7 077 349 7 954 339 8 481 981 7 865 196 ELECTRICITY Volume of electricity purchased MWh 202 452 422 398 484 224 430 428 Electricity generated purchased and then exported to the national or local grid (and or to external parties) MWh 46 767 37 543 38 034 23 811 Net electricity purchased MWh 155 685 384 855 446 190 406 617 Volume of electricity self-generated MWh 450 722 468 565 465 786 425 136 Electricity exported (to Agriculture, other services departments outside the mill factory) MWh 162 946 156 338 177 697 155 632 Volume of electricity consumed purchased and self-generated MWh 606 407 853 420 911 976 831 753 Percentage of electricity consumed that was self-generated % 74.3 54.9 51.1 51.1 Net electricity used MWh 762 092 1 238 275 1 358 166 1 238 370 Electricity efficiency: electricity consumed per ton of sugar produced MWh t 0.451 0.748 1.160 0.945 Target electricity efficiency: electricity consumed per ton of sugar produced by 2025 MWh t 0.445 ENERGY Direct energy consumption i.e. from renewable fuels burned GJ 21 521 435 18 119 832 9 307 939 20 528 769 Direct energy consumption i.e. from non-renewable fuels burned (e.g. diesel, petrol, etc.) GJ 5 031 128 6 859 097 7 306 266 7 493 318 Total direct energy consumption all sources GJ 26 552 564 24 978 927 16 614 205 28 022 087 Total indirect energy consumption from net electricity consumed GJ 560 466 1 385 479 893 034 917 603 Total direct and indirect energy consumption GJ 27 113 030 26 364 406 17 507 239 28 939",5
2021ESG.pdf,6,sources GJ 26 552 564 24 978 927 16 614 205 28 022 087 Total indirect energy consumption from net electricity consumed GJ 560 466 1 385 479 893 034 917 603 Total direct and indirect energy consumption GJ 27 113 030 26 364 406 17 507 239 28 939 690 Percentage of energy consumption sourced from renewable fuels % 79.41 68.73 53.17 70.94 Energy efficiency: total direct and indirect energy consumed per ton of sugar produced GJ t 16.63 16.18 14.95 22.09 Target total energy consumption per ton of sugar produced (by 2025) (2021 is the new base year due to more complete fuel consumption data) GJ t 15.92 Certain indicators in the above tables are being presented for the first time to ensure improved reporting on carbon emissions data.6 COMPREHENSIVE DATA TABLE CONTINUED Unit of measure 2021 2020 2019 2018 CARBON EMISSIONS Carbon emissions Scope 1 tCO2-e 505 575 704 989 695 914 733 138 Carbon emissions Scope 2 tCO2-e 51 539 400 249 257 988 265 085 Total carbon emissions Scope 1 and 2 tCO2-e 557 114 1 105 23 953 901 998 223 Carbon efficiency carbon emissions per ton of sugar produced tCO2-e t 0.330 0.645 0.815 0.762 Target carbon emissions per ton of sugar produced by 2025 (2021 is the new base year due to more complete fuel consumption data) tCO2-e t 0.313 WATER MANAGEMENT Water abstracted mills factory m3 6 668 223 7 228 899 5 691 921 10 257 723 Water purchased mills factory m3 234 301 2 700 508 2 731 589 3 133 456 Water produced mills factory m3 7 136 027 7 253 000 7 350 000 6 399 000 Total volume of water input m3 14 038 551 17 182 407 15 773 510 19 790 179 Water exported (sold or provided for free) mills factory m3 139 112 76 343 245 553 487 756 Water discharged (scheduled and or non-scheduled effluent and or overflows) mills factory m3 5 728 294 8 090 901 7 252 266 8 080 488 Total volume of water output m3 5 867 406 8 167 244 7 497 819 8 568 244 Net water consumption mills factory m3 1 502 922 1 786 264 Volume of effluent treated mills factory m3 585 179 Water abstracted agriculture m3 579 582 876 714 896 206 561 635 137 715 376 467 Water purchased agriculture m3 328 518 993 426 132 328 395 260 650 342 275 840 Water exported (sold or provided for free) agriculture m3 7 742 598 3 009 000 8 165 812 6 306 889 Water used for irrigation agriculture m3 545 032 078 718 562 064 779 544 750 692 618 351 Water discharged (scheduled and or non-scheduled effluent and or overflows) agricultural m3 66 993 353 68 312 150 57 029 962 119 575 369 Net water consumption agricultural m3 833 365 918 1 069 707 384 886 008 092 921 512 326 Water abstracted total m3 586 251 099,6
2021ESG.pdf,7,"351 Water discharged (scheduled and or non-scheduled effluent and or overflows) agricultural m3 66 993 353 68 312 150 57 029 962 119 575 369 Net water consumption agricultural m3 833 365 918 1 069 707 384 886 008 092 921 512 326 Water abstracted total m3 586 251 099 722 125 105 561 635 137 715 376 467 Water purchased total m3 328 753 294 428 832 836 397 992 239 345 409 296 Water exported (sold or provided for free) total m3 7 881 710 3 085 343 8 411 365 2 863 000 Water discharged (scheduled and or non-scheduled effluent and or overflows) total m3 72 721 647 76 403 051 64 282 228 127 655 857 Net volume of water consumed m3 834 868 840 1 071 493 648 886 008 092 921 512 326 Water efficiency water consumed per ton of sugar produced m3 t 494 647 757 703 Target water efficiency water consumed per ton of sugar produced by 2025 m3 t 469 WASTE Hazardous waste disposed of at appropriate facilities tons 184 240 299 539 Hazardous waste efficiency hazardous waste per ton of sugar produced kg t 0.1090 0.1449 0.2553 0.4115 Non-hazardous waste sent to landfill tons 6 717 9 606 9 371 11 579 Non-hazardous waste efficiency non-hazardous waste sent to landfill per ton of sugar produced kg t 3.975 5.800 8.003 8.839 Scrap metal tons 2 268 2 639 4 608 5 616 Used tyres tons 27 57 55 67 Used oil tons 166 192 4 530 442 Dam sludge tons 8 780 Empty containers tons 45 168 31 42 Pallets tons 393 2 860 999 249 Plastic tons 865 789 644 694 Rubber tons 1 001 Paper tons 164 201 267 417 Cane riddling tons 8 657 10 911 8 650 12 792 Boiler ash filter cake, maila, smuts tons 233 672 315 225 320 059 326 926 Fibre exported (sold to third parties for reuse or recycling) tons 38 450 52 732 25 633 Recycled waste other tons 2 564 12 055 14 460 12 433 Total volume of waste recycled (or reused) tons 297 050 397 829 356 712 360 841 Percentage of waste disposed of that is sent for recycling (or reuse) % 97.7 97.6 97.4 96.8 Target percentage of waste disposed of that is sent for recycling (or reuse) by 2025 % 100.0TONGAAT HULETT 2021 ESG REPORT 7 01 INTRODUCTION Unit of measure 2021 2020 2019 2018 ENVIRONMENTAL EFFICIENCY INVESTMENTS Investments in projects to improve energy efficiency Rand 18 140 418 13 468 441 10 511 215 27 115 607 Investments in projects to improve water efficiency Rand 14 957 022 333 456 18 582 987 Investments in projects to improve waste efficiency Rand 7 646 996 Total Rand value of investments in projects to improve environmental efficiencies Rand 33 097 440 21 448 893 10 511 215 45 698 595 ENVIRONMENTAL COMPLIANCE Environmental fines and or non-compliances number 3 1 0 2 Environmental complaints Level",7
2021ESG.pdf,8,"Investments in projects to improve waste efficiency Rand 7 646 996 Total Rand value of investments in projects to improve environmental efficiencies Rand 33 097 440 21 448 893 10 511 215 45 698 595 ENVIRONMENTAL COMPLIANCE Environmental fines and or non-compliances number 3 1 0 2 Environmental complaints Level 1 number 63 98 113 104 Environmental complaints Level 2 number 0 0 0 0 Environmental complaints Level 3 number 0 0 0 0 Environmental incidents Level 1 number 239 222 291 300 Environmental incidents Level 2 number 5 2 5 1 Environmental incidents Level 3 number 0 0 0 0 CSI SED EXPENDITURES Corporate social investment (CSI) Socio-economic development (SED) expenditures Rands 122 433 239 87 945 856 197 816 242 217 582 787 CSI SED spend as a percentage of total revenue generated % 0.82 0.4 0.5 1.2 CSI SED spend as a percentage of net profit after tax % 27.05 6.2 (5.6) (12.4) Percentage of total CSI SED spend in South Africa % 12.0 CSI SED spend on arts, sports and culture Rands 2 727 046 7 307 220 13 126 724 15 908 528 CSI SED spend on basic needs and social development, including nutrition and or feeding programmes Rands 5 258 537 CSI SED spend on education Rands 6 769 128 6 210 711 22 641 793 20 796 479 CSI SED spend in environmental management projects Rands 5 483 708 CSI SED spend on health, including HIV AIDS Rands 99 893 760 51 438 278 84 569 835 103 567 242 CSI SED spend on Infrastructure Development Rands CSI SED spend on skills development, including adult basic education and training (ABET) Rands CSI SED spend on small business development projects Rands CSI SED spend on other (social support for employees and ad hoc) Rands 2 301 060 Enterprise and supplier development spend (i.e. support for small business) Rands 35 721 9238 ABOUT THIS REPORT This ESG and Climate Change Report represents a significant milestone in our 18-year history of sustainability reporting, and is the business s attempt to respond to rapidly evolving expectations for environmental, social and governance (ESG) transparency and accountability. This includes: Increased interest in ESG performance data from longer-term investor analysts (e.g. pension funds, particularly international funds). Increased requests for ESG performance data, systems and controls information, from key customers. Increasing frequency and depth of requests for ESG information from local and international ESG analysts such as MSCI, DJSI and other sustainability indexes. Increased expectations from a variety of role players for additional transparency and accountability around climate change matters to provide evidence that Tongaat Hulett is actively contributing to addressing global, national and corporate commitments to combatting climate change. Increased interest in climate change reporting, specifically with respect to reporting aligned to the reporting recommendations of the TCFD. For the first time, Tongaat Hulett has chosen to produce a combined ESG and Climate Change Report that not only supports the company s full suite of Integrated Annual Reporting documents, but",8
2021ESG.pdf,9,"interest in climate change reporting, specifically with respect to reporting aligned to the reporting recommendations of the TCFD. For the first time, Tongaat Hulett has chosen to produce a combined ESG and Climate Change Report that not only supports the company s full suite of Integrated Annual Reporting documents, but also to provide step change improvements in: The depth and breadth of our ESG disclosures via a comprehensive ESG data table placed upfront to assist responsible investment analysts who focus the bulk of their effort on understanding key performance data. The way in which case studies within the report are structured around explaining the meaning behind our data. The way in which we have chosen to explain, in much greater detail than in prior years, how our commitments to the UN Sustainable Development Goals (SDGs) and the UN Global Compact (UNGC) are linked to specific aspects of our business. The setting of specific targets for future monitoring, management and reporting back to our stakeholders. Ensuring improved alignment to the TCFD. This report is the product of a year of intense effort to reinvigorate the way in which sustainability is understood, actively managed, and engrained in as many process improvements as possible. Behind the numerical performance data and the stories that flow from that data, is a collective commitment within the company to identify areas where the health and welfare of our employees and community members, the sustainability of our suppliers, contractors and other partners, and the protection of the natural environment in which we operate can be improved while continuing to focus on shareholder value. As a company with more than 128 years history, we understand the need to respect the interests of our lenders and investors, but not at the expense of the air, water and land we rely on to support the growth and development of the sugar we produce, and the land we develop. After a year where we refrained from seeking assurance over our sustainability report due to multiple changes within our business, BDO now provides assurance over the reporting outcomes of the rapidly improving policies, procedures, systems and controls that allow Tongaat Hulett to produce a report of this nature. SCOPE AND BOUNDARIES This report reviews Tongaat Hulett following a multi-year process of transformation within the group. With the sale of our operations in Namibia and Eswatini, as well as that of the starch business and the mothballing of our Darnall Mill, the company we present to our stakeholders is a much leaner and more efficient entity. It is this company, as represented in the Our Business Model section on page 12 of this report, that we report on for the period of 1 April 2020 to 31 March 2021. The information included in this report covers the activities of the group and all its subsidiaries and aligns with the financial information disclosed in the Integrated Annual Report and Annual Financial Statements. In some cases, such as with the presentation of Person Hours Worked (PHW),",9
