,PRINCIPLE,RESPONSE
"STHGIR
NAMUH","1. Businesses should support
and respect the protection
of internationally proclaimed
human rights.","The protection and promotion of human rights has been a significant focus area within all
areas of our business. Respect for human rights is embodied in our Code of Conduct and
Business Ethics, and is being reinforced through the development and implementation of our
Human Rights policy."
,"2. Make sure that they are not
complicit in human rights
abuses.","The avoidance of human rights abuses within the company, inclusive of our workforce, supply
chain and strategic partnerships is rooted in the expectation that our stakeholders will be
aware of what constitutes an abuse, how to report potential incidents, and how the company
deals with any real or perceived abuses from a moral, legal and ethical manner."
,"Additional comments
on Human Rights","All employees and contractors are provided a safe, secure and healthy work environment
where workers are protected from all forms of harassment and/or abuse.
Where deemed necessary, appropriate steps are taken to identify health and safety hazards,
including any form of exposure to heat stress, exposure to chemicals and/or the potential for
injury from vehicles or machinery."
RUOBAL,"3. Business should uphold the
freedom of association and
the effective recognition of the
right to collective bargaining.","All employees, including those of our contractors are subject to their legal right to join a union
and participate in collective bargaining."
,"4. The elimination of all forms of
forced and compulsory labour.","Tongaat Hulett policies prohibit all forms of forced, compulsory and/or indentured labour
within our workforce, as well as among our suppliers and contractors."
,"5. The effective abolition of
child labour.","While Tongaat Hulett identifies the difference between ”Child Work” and “Child Labour”,
our HR and Recruitment policies ensure that no persons under the age of 18
are permitted to be employed within the company."
,"6. The elimination of discrimination
in respect of employment and
occupation.","Our Human Rights policy explicitly forbids all forms of discrimination, including the selection
or rejection of persons for employment based on gender, race, religion and/or disability."
,"Additional comments
on Labour","Tongaat Hulett does not permit any form of forced or bonded labour within our workforce or
that of our suppliers and contractors.
All employees are guaranteed wages that meet or exceed minimum wage standards in all
countries in which we operate, and explicitly insist the same of our suppliers and contractors.
Work schedules are generally limited to 48 hours per week, while exceptional cases, such as for
security guards, may allow for government mandated maximums of up to 72 hours."
TNEMNORIVNE,"7. Businesses should support a
precautionary approach to
environmental challenges.","Tongaat Hulett is committed to ensuring that all environmental, health and safety challenges
are proactively identified on a risk-related basis, inclusive of near misses and high frequency
risk incidents (HRFIs).
The goal is to ensure that threats of serious harm to persons, or damage to the environment,
must be addressed in a manner that favours the prevention of the said risk."
,"8. Undertake initiatives to
promote greater environmental
responsibility.","Efficiency targets for environmental performance are set to minimise damage wherever
possible. This includes the setting of targets for “Zero Waste to Landfill”, the improvement of
water, energy and carbon efficiencies, and the encouragement of operations to strive towards
water neutrality at sugar mills, and “Net Zero” targets for carbon emissions."
,"9. Encourage the development
and diffusion of environmentally
friendly technologies.","Ongoing monitoring of water efficiencies at the agricultural, milling and refining has led to
the development of plans to, for example, move away from furrow irrigation to drip and/or
centre-pivot technology.
Smart irrigation technology is planned for future developments, with a reasonable expectation
of reducing irrigation water consumption by up to 40%.
The installation and/or upgrading of scrubbers on mill and refinery stacks is planned in pursuit
of further improvements in future air emissions."
,"Additional comments
on Environment","Policies and procedures to manage environmental legal and regulatory compliance
have been significantly improved in FY2021, inclusive of the full-time appointment of a
group Environmental Compliance Officer."
"NOITPURROC
-ITNA","10. Businesses should work against
corruption in all its forms,
including extortion
and bribery.","Over the year, Tongaat Hulett has significantly improved its Fraud and Corruption policies
and procedures in an attempt to eliminate, wherever possible, the potential for bribery and
corruption in all forms. This includes the improvement of procedures to inform and instruct
employees, suppliers and contractors of the risks associated with corruption, as well as the
methods employed to report potential incidents for investigation."
